run, cd, cl
1,0.2854115695,-0.1131136459
2,0.2605208374,0.1286573910
3,0.2625544311,0.2459593718
4,0.3200806881,0.0960488173
5,0.2933716315,-0.0385176264
6,0.4039881592,0.5490935180
7,0.2801140039,-0.0490784943
8,0.2836403334,0.2958746903
9,0.2895972155,-0.1346837645
10,0.2425522077,0.1909898418
11,0.2836490518,-0.1025618276
12,0.4152757189,0.4316263331
13,0.3816343450,0.4438552952
14,0.4291969022,0.5677721384
15,0.2862238727,-0.0929725364
16,0.2956487711,-0.0321619253
17,0.2820260398,-0.1663233277
18,0.4101060185,0.5273967257
19,0.2782625355,-0.1119761417
20,0.2836266735,0.2722245545
21,0.2844960572,0.3403868238
22,0.2959853444,0.0022745069
23,0.3117494224,0.4149018511
24,0.2957940598,-0.0171424155
25,0.2567603637,-0.0020012944
26,0.4115427883,0.4141400004
27,0.2577036971,0.0606916302
28,0.2800820788,-0.0576847090
29,0.2639149249,-0.0950514154
30,0.2865307144,-0.0641489547
31,0.2845681013,-0.1061763780
32,0.2985214404,0.0349111660
33,0.2883093360,-0.0143666775
34,0.4502764032,0.4882300731
35,0.2810472342,-0.0456692077
36,0.2637358538,0.2477161622
37,0.2955223843,-0.0170868628
38,0.2926182604,-0.0927979396
39,0.2762251172,-0.0510637807
40,0.2937901651,0.0356949878
41,0.3601308773,0.5475986441
42,0.2737872252,-0.0789571284
43,0.2861137206,-0.0412908415
44,0.2506454681,-0.0385326866
45,0.2797673691,-0.0355682900
46,0.2718149580,0.1118210635
47,0.3045251861,-0.0028133927
48,0.2845335704,-0.0158870292
49,0.2921136741,-0.0423979873
50,0.2488291757,0.0047441219
51,0.2853111435,-0.0143270897
52,0.3196565669,0.0212824945
53,0.3058732324,-0.0547557142
54,0.2943197992,-0.1601036060
55,0.3949916983,0.6170495034
56,0.2612313429,0.0519446811
57,0.2620013195,0.2945850927
58,0.2761129001,-0.1293831495
59,0.2724822479,0.0661198913
60,0.3225905174,0.3829329103
61,0.3011752736,-0.0223750875
62,0.2630032331,0.1947389590
63,0.2922166862,0.0003702582
64,0.2828220350,-0.1479501655
65,0.3070475680,0.0658730899
66,0.2850377801,-0.1077670414
67,0.3016956959,0.0011812083
68,0.2527147454,-0.0008114516
69,0.3030676563,0.3616376573
70,0.2780731056,-0.1294249213
71,0.3329049083,0.4735400195
72,0.2786353282,-0.1381664494
73,0.3588486142,0.4196490865
74,0.4647992519,0.4915069146
75,0.3244413353,0.5806347357
76,0.4158851431,0.4432988669
77,0.2982768706,-0.0240643184
78,0.2916250570,0.0100481749
79,0.3489392007,0.2068793913
80,0.2848123749,-0.0376536003
81,0.3850583180,0.5709278786
82,0.4082633806,0.5829135276
83,0.2974346653,-0.0411751154
84,0.2773428859,-0.0451223645
85,0.2644215650,-0.0781132982
86,0.2939321488,-0.0493383122
87,0.2800985937,-0.1521729945
88,0.3009936696,-0.0606927826
89,0.2813822146,0.3587791923
90,0.2842362430,-0.0925735228
91,0.3066763542,-0.0435389282
92,0.3021806273,0.0731085776
93,0.2752683893,0.0627506446
94,0.3052576575,0.4790055668
95,0.2905480087,-0.0647613198
96,0.2905506090,-0.1144498969
97,0.2456647905,0.0577159788
98,0.2923350837,-0.0143925225
99,0.2879129294,-0.0469153774
100,0.3047545816,-0.0433510964
101,0.2592026410,0.2044624916
102,0.3013298820,-0.0734229895
103,0.2743177638,-0.0395412795
104,0.3028551687,0.0132686328
105,0.2798331251,0.1708309314
106,0.2600598974,0.1447989208
107,0.3749994214,0.4425376442
108,0.2541294697,0.1911509137
109,0.2531790912,0.0270127243
110,0.2648626836,0.2476936608
111,0.3103147081,0.0222858103
112,0.2868194358,0.2046483073
113,0.3003096700,-0.0155800692
114,0.2547894907,0.1903375941
115,0.3077108316,0.2718262824
116,0.3145320224,0.0406121692
117,0.2680874912,-0.0786124606
118,0.2912102327,0.0511443544
119,0.2478920995,0.1396488134
120,0.2847216267,-0.1485577045
121,0.2855192033,-0.0610766995
122,0.2436658424,0.0419010097
123,0.2518041264,0.1540892056
124,0.2476677244,0.0093487325
125,0.2962947925,-0.0950544383
126,0.2657288885,0.1402777080
127,0.2984294780,-0.0211701176
128,0.2950168316,-0.0322526316
129,0.2955757607,-0.0275415295
130,0.3140848523,0.0632665588
131,0.2913980938,0.0627698629
132,0.2832418811,-0.1109671645
133,0.2486722954,0.0607851798
134,0.2772537699,-0.1085901572
135,0.3248358047,0.0943627783
136,0.2709014487,-0.1266029238
137,0.2979309735,-0.0040967398
138,0.2958972180,-0.0073678274
139,0.2846374437,-0.0672075170
140,0.3090083713,0.0116431693
141,0.4498165239,0.4733823109
142,0.2886685168,-0.0607216815
143,0.2799601730,-0.0855721938
144,0.2370649368,0.0415920829
145,0.2541974371,0.1277007891
146,0.2972377606,-0.0279916628
147,0.2940931206,-0.1029052563
148,0.4311650799,0.4828787184
149,0.2895972855,-0.0207421303
150,0.2404456674,0.1102822697
151,0.2796751374,-0.0032054019
152,0.3850756762,0.7002501762
153,0.2881384694,-0.0854260001
154,0.2721661435,-0.0895080556
155,0.2769376761,-0.0792620410
156,0.2803514365,-0.1224798321
157,0.3047261184,-0.0272785910
158,0.2635661807,-0.1229207301
159,0.2826087963,-0.1807759190
160,0.2877507777,-0.0608366759
161,0.2998561248,-0.0069108297
162,0.2514897045,-0.0069238973
163,0.2829263512,-0.0481307834
164,0.2709767044,-0.0639209333
165,0.2769701876,-0.0268135342
166,0.2464697863,0.1361277874
167,0.2845383161,0.1247973454
168,0.3161035389,-0.0303502078
169,0.2901611126,-0.0910642240
170,0.2490112771,-0.0319436863
171,0.4189398773,0.6233404528
172,0.2940349950,0.0333632860
173,0.3659107742,0.6025361628
174,0.3451038825,0.5290625523
175,0.2820458354,-0.0832114414
176,0.2721910045,0.1843920077
177,0.2748240536,0.2975470343
178,0.4208044051,0.4462146110
179,0.2863872611,-0.0433546859
180,0.2905199840,-0.1140906813
181,0.2823520055,-0.1393346551
182,0.2970052834,-0.0556452655
183,0.2531334913,-0.0182772815
184,0.2833775604,0.2574071970
185,0.2978821446,-0.0975666258
186,0.2479477578,-0.0554738318
187,0.3530833031,0.3264353241
188,0.2984292163,0.0487453151
189,0.2600205462,0.2018516740
190,0.4027465159,0.4575154784
191,0.2929859781,0.3778483621
192,0.3230890068,0.0509356497
193,0.3194673999,0.1006920557
194,0.2970517203,0.0268268083
195,0.2537304048,0.1006848247
196,0.3156361625,0.4021831708
197,0.3168176319,0.4224579541
198,0.2416234185,0.0063612850
199,0.3027951670,0.0087771257
200,0.2640081343,0.1569195595
201,0.2543887803,0.1857335152
202,0.2800880570,-0.0042283998
203,0.2706107445,-0.1350248732
204,0.3578058480,0.5382162981
205,0.4991356818,0.5825491280
206,0.2812333183,-0.1402819350
207,0.2712455180,-0.0499238857
208,0.2820085157,0.2803093919
209,0.2868709155,-0.1207364895
210,0.2531072709,0.1033543883
211,0.2657656809,0.0263743162
212,0.2914221710,-0.0561255127
213,0.2628810617,-0.0798377450
214,0.2851509544,-0.1280463756
215,0.2854104464,-0.0694154584
216,0.3442419934,0.3534435728
217,0.4091998264,0.5052357848
218,0.2764108254,-0.0294583187
219,0.2834564997,0.3199741011
220,0.4067841480,0.3680201247
221,0.2761978226,-0.0817455371
222,0.3156593376,0.0396689680
223,0.2664326504,0.1331526672
224,0.2886319294,-0.0603101645
225,0.2551573888,0.0129286657
226,0.2787547072,-0.1275403775
227,0.2444005601,0.1016624970
228,0.3423377831,0.5188104207
229,0.2651853303,0.0491000065
230,0.2808120072,-0.0739013687
231,0.2849771413,-0.1338320430
232,0.3892347055,0.4593337164
233,0.2768098054,-0.0059305234
234,0.2588764839,0.1567172371
235,0.2975282234,-0.0357592202
236,0.3659208854,0.4962663465
237,0.3007256686,0.0440520990
238,0.2430023296,0.1777678359
239,0.2589217775,-0.0200159721
240,0.2737241640,-0.0892387296
241,0.2422270739,0.1119287695
242,0.2888633566,-0.1131200955
243,0.3032344896,-0.0429752337
244,0.3141488118,0.0001862436
245,0.3029211976,-0.0031516773
246,0.2905582163,0.0390722541
247,0.2524000585,-0.0083010886
248,0.2848025054,-0.1320379714
249,0.2808481626,-0.0347833491
250,0.3455855476,0.4459555264
251,0.2849047286,-0.0211266408
252,0.2575295532,0.2427743822
253,0.2535152448,0.0691662558
254,0.3043060566,0.0087871034
255,0.2943960889,-0.0990053365
256,0.2880683253,-0.0472371254
257,0.2860527286,-0.0478077882
258,0.2921554133,-0.0569520183
259,0.2749932854,0.3426923780
260,0.2700228438,-0.1372490237
261,0.2822553854,-0.1511845004
262,0.2624490662,0.2795467722
263,0.2893632704,-0.0762352215
264,0.3951490462,0.4588755480
265,0.3219284119,0.0843232991
266,0.3062536366,-0.0395079858
267,0.2961073594,-0.0451885810
268,0.2931512099,-0.1731909963
269,0.2775848569,0.1972811271
270,0.2696628907,-0.0514317920
271,0.2552538369,0.0032368099
272,0.2928079480,-0.0461280431
273,0.2462103186,0.0829955364
274,0.3144562388,0.4558470697
275,0.2799751438,-0.1501054817
276,0.2831738936,0.2723890331
277,0.2890386259,0.0176843882
278,0.2858741642,0.2732782311
279,0.2563683095,0.3171835139
280,0.4473719235,0.6364485719
281,0.2957245551,-0.0619895053
282,0.2799250974,0.1447889389
283,0.4649542798,0.5137291880
284,0.4567417539,0.5566325683
285,0.2713668105,-0.1166609394
286,0.2741347696,-0.0779792932
287,0.2909464004,-0.0657270926
288,0.2858632144,-0.1306028799
289,0.4060173892,0.3929926898
290,0.2963718614,0.0004183914
291,0.2796285203,-0.0467535894
292,0.2884246846,-0.0548495227
293,0.2812081712,-0.1447937033
294,0.2854287516,-0.0790067258
295,0.3558522917,0.5588407669
296,0.3040129024,0.0127914120
297,0.2665414894,0.0285760546
298,0.2984648140,-0.0128584862
299,0.2772747530,-0.0851133676
300,0.2857715743,-0.1298158436
301,0.2767218110,-0.0518577351
302,0.2961284833,-0.0224004185
303,0.2814586701,-0.0693357013
304,0.2647538508,0.2109254685
305,0.3172336893,0.4200730275
306,0.3212452178,0.4326056518
307,0.2736578595,-0.0363706789
308,0.2774333155,-0.0421765900
309,0.3516592555,0.5206680749
310,0.2931229452,-0.0079353489
311,0.3182688973,0.3162767142
312,0.2552600731,0.0807248794
313,0.2514515592,0.1409131279
314,0.2908141538,0.2177337586
315,0.4282015028,0.5821442206
316,0.3128937351,0.3755613562
317,0.2837541218,-0.0510578303
318,0.2917180031,-0.1512743418
319,0.2729622344,0.2047150454
320,0.2815121272,-0.0675820903
321,0.2922656373,0.4510070610
322,0.2904319029,0.0179674575
323,0.2892645981,-0.1243175381
324,0.3022346457,-0.0096307093
325,0.2936625995,-0.0236480579
326,0.2743685586,0.3185618680
327,0.3749823829,0.4726555442
328,0.2869933457,-0.1271034252
329,0.2854446721,-0.1393274928
330,0.2561705093,0.3306510265
331,0.3482920178,0.5136002074
332,0.2624028045,0.2129726802
333,0.2814595762,-0.0616787151
334,0.2729897980,0.1328282636
335,0.3042956000,-0.0084079032
336,0.3269136509,0.3985511801
337,0.2718533645,0.2773235015
338,0.2464786122,0.1489390601
339,0.4844305614,0.5181953509
340,0.2736949081,-0.0799653996
341,0.2853482846,-0.1450091078
342,0.2968545929,-0.1365609459
343,0.2861004398,-0.0805697262
344,0.2701444072,-0.1167548820
345,0.2470220716,0.1030219842
346,0.2886464818,0.0082156598
347,0.2882030699,-0.0637874424
348,0.2949707923,0.0410478079
349,0.2904854583,-0.0225336355
350,0.2745460867,-0.1432421681
351,0.4644355093,0.5261137788
352,0.2838544154,-0.0854800151
353,0.2854259068,0.3702423494
354,0.2690847749,0.3551677917
355,0.2854183433,0.1802126209
356,0.3020173515,0.4012071643
357,0.2809775190,-0.0677631835
358,0.2783746836,-0.0975552275
359,0.2639965128,-0.0469394544
360,0.2620036396,-0.0524494198
361,0.2923251285,-0.0424084129
362,0.4240924305,0.4992567303
363,0.2437160251,0.1137411250
364,0.2895744775,-0.0028612801
365,0.2989241175,0.4708830918
366,0.2749108767,0.2269298694
367,0.3015329108,0.5037342650
368,0.2748707598,-0.0627914787
369,0.2865791748,0.0400909632
370,0.2687318313,0.1412449657
371,0.2721216749,-0.0483718629
372,0.2759630170,-0.0866551073
373,0.2760163809,-0.0903714200
374,0.2869676447,0.3064221619
375,0.2764634533,0.1034920765
376,0.3020521812,-0.0421921538
377,0.2717973517,0.2545023171
378,0.3768492820,0.4060312852
379,0.2428829696,0.0104397874
380,0.2938834798,-0.1106179530
381,0.2714931331,0.2403413060
382,0.4219916636,0.6085459901
383,0.3419983043,0.3435667144
384,0.2703844448,0.1715149559
385,0.2844741973,-0.0299679886
386,0.2933800039,-0.0320902801
387,0.2816882676,0.0050637383
