design_id,length_mm,width_mm,height_mm,frontal_area_mm2,roof_height_mm,rear_slant_deg,windshield_deg,cabin_length_frac,n_vertices,cd,config
E_S_WWC_WM_0005,4770.9,1145.2,1239.8,1419772.0,1239.8,11.4,5.2,0.568,1558332,0.2962596001096345,E_S_WWC_WM
E_S_WWC_WM_0006,4731.9,1143.1,1333.6,1524423.0,1333.5,15.6,5.1,0.525,1558332,0.2234880593023255,E_S_WWC_WM
E_S_WWC_WM_0007,4902.9,1110.8,1221.2,1356510.0,1221.2,9.5,5.0,0.585,1558332,0.2778243377475083,E_S_WWC_WM
E_S_WWC_WM_0008,4943.1,1125.9,1222.0,1375936.0,1222.0,10.6,4.6,0.547,1558332,0.2389313833953488,E_S_WWC_WM
E_S_WWC_WM_0009,4678.6,1129.3,1294.2,1461497.0,1294.1,12.7,5.6,0.563,1558332,0.258389442475083,E_S_WWC_WM
E_S_WWC_WM_0010,4615.1,1043.9,1336.5,1395201.0,1336.2,14.9,4.9,0.539,1558332,0.2711289901096345,E_S_WWC_WM
E_S_WW_WM_0516,4547.5,1142.3,1311.2,1497803.0,1310.6,14.4,5.2,0.551,1558332,0.2512595007342192,E_S_WW_WM
E_S_WW_WM_0517,4598.9,1083.0,1286.0,1392781.0,1286.0,20.6,4.7,0.55,1558332,0.3071909977973422,E_S_WW_WM
E_S_WW_WM_0518,4661.5,1177.8,1354.6,1595400.0,1352.4,19.4,0.0,0.517,1558332,0.2776335601262458,E_S_WW_WM
E_S_WW_WM_0519,4674.7,1136.0,1290.5,1465981.0,1290.3,15.7,5.2,0.543,1558332,0.2692919006345515,E_S_WW_WM
E_S_WW_WM_0520,4655.4,988.5,1340.0,1324630.0,1340.0,14.4,4.7,0.545,1558332,0.2629865830465116,E_S_WW_WM
E_S_WW_WM_0521,5109.9,1117.0,1220.3,1363086.0,1220.3,8.2,4.4,0.544,1558332,0.2579085004784053,E_S_WW_WM
E_S_WW_WM_0522,4745.5,1032.5,1322.4,1365433.0,1321.9,13.5,4.7,0.536,1558332,0.283025044833887,E_S_WW_WM
E_S_WW_WM_0523,4525.2,1071.1,1308.9,1401992.0,1308.6,15.0,5.6,0.551,1558332,0.2717192038770764,E_S_WW_WM
E_S_WW_WM_0524,4789.7,951.0,1229.4,1169078.0,1228.8,10.0,4.5,0.565,1558332,0.3041322567176079,E_S_WW_WM
E_S_WW_WM_0525,4815.0,1057.9,1218.2,1288715.0,1218.2,8.4,5.0,0.539,1558332,0.255964845282392,E_S_WW_WM
E_S_WW_WM_0526,4518.5,1028.4,1233.0,1268099.0,1233.0,14.3,7.5,0.574,1558332,0.2548153176511628,E_S_WW_WM
E_S_WW_WM_0527,5065.9,1039.3,1238.9,1287604.0,1238.9,8.2,4.1,0.56,1558332,0.2718248832923587,E_S_WW_WM
E_S_WW_WM_0528,4759.1,999.0,1239.6,1238451.0,1239.6,8.0,4.3,0.589,1558332,0.2676777274152823,E_S_WW_WM
E_S_WW_WM_0529,4683.3,1053.9,1312.1,1382804.0,1312.1,13.4,4.9,0.54,1558332,0.2645505383122923,E_S_WW_WM
E_S_WW_WM_0530,4867.2,1081.7,1353.5,1464138.0,1350.6,10.7,0.0,0.534,1558332,0.2412807487674418,E_S_WW_WM
